key,value,timestamp,topic,partition,offset
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.0, ""volume"": 0.00266345, ""timestamp"": ""2024-12-06T17:52:29.744289Z"", ""timestamp_ms"": 1733503949744}",1733507551900,trades,0,39418
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4035.0, ""volume"": 1.23698959, ""timestamp"": ""2024-12-06T17:52:29.744289Z"", ""timestamp_ms"": 1733503949744}",1733507551900,trades,0,39419
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95841.0, ""volume"": 0.00015599, ""timestamp"": ""2024-12-06T17:52:30.032941Z"", ""timestamp_ms"": 1733503950032}",1733507552212,trades,0,39420
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.41, ""volume"": 0.04648668, ""timestamp"": ""2024-12-06T17:52:30.505194Z"", ""timestamp_ms"": 1733503950505}",1733507552730,trades,0,39421
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.4, ""volume"": 0.0020112, ""timestamp"": ""2024-12-06T17:52:31.829563Z"", ""timestamp_ms"": 1733503951829}",1733507551850,trades,0,39422
b'ETH-EUR',"{""pair"": ""ETH/EUR"", ""price"": 3821.4, ""volume"": 0.0409888, ""timestamp"": ""2024-12-06T17:52:31.829563Z"", ""timestamp_ms"": 1733503951829}",1733507551851,trades,0,39423
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101165.0, ""volume"": 0.001, ""timestamp"": ""2024-12-06T17:52:31.999031Z"", ""timestamp_ms"": 1733503951999}",1733507552035,trades,0,39424
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101165.0, ""volume"": 1.413, ""timestamp"": ""2024-12-06T17:52:31.999031Z"", ""timestamp_ms"": 1733503951999}",1733507552035,trades,0,39425
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101164.8, ""volume"": 0.00127514, ""timestamp"": ""2024-12-06T17:52:31.999031Z"", ""timestamp_ms"": 1733503951999}",1733507552035,trades,0,39426
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101151.0, ""volume"": 0.0005, ""timestamp"": ""2024-12-06T17:52:31.999031Z"", ""timestamp_ms"": 1733503951999}",1733507552035,trades,0,39427
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101144.0, ""volume"": 0.01192575, ""timestamp"": ""2024-12-06T17:52:31.999031Z"", ""timestamp_ms"": 1733503951999}",1733507552036,trades,0,39428
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101130.8, ""volume"": 0.09964519, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552402,trades,0,39429
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101130.8, ""volume"": 0.0122, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552403,trades,0,39430
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101130.8, ""volume"": 0.32931429, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552403,trades,0,39431
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101130.7, ""volume"": 6.12e-05, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552403,trades,0,39432
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101130.7, ""volume"": 0.09737122, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552403,trades,0,39433
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101126.7, ""volume"": 0.00296657, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552403,trades,0,39434
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101118.3, ""volume"": 0.00019767, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552403,trades,0,39435
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101118.2, ""volume"": 0.04454749, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552403,trades,0,39436
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.00324706, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39437
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.2, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39438
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.5, ""volume"": 0.00484391, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39439
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101114.2, ""volume"": 0.598, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39440
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101108.4, ""volume"": 0.07681404, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39441
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101105.6, ""volume"": 0.00296719, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39442
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101103.9, ""volume"": 0.00299217, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39443
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101103.5, ""volume"": 0.02663858, ""timestamp"": ""2024-12-06T17:52:32.337492Z"", ""timestamp_ms"": 1733503952337}",1733507552404,trades,0,39444
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101125.8, ""volume"": 3.647e-05, ""timestamp"": ""2024-12-06T17:52:32.961460Z"", ""timestamp_ms"": 1733503952961}",1733507553077,trades,0,39445
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 0.32573076, ""timestamp"": ""2024-12-06T17:52:33.675113Z"", ""timestamp_ms"": 1733503953675}",1733507553859,trades,0,39446
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 0.07265188, ""timestamp"": ""2024-12-06T17:52:33.675113Z"", ""timestamp_ms"": 1733503953675}",1733507553859,trades,0,39447
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.3, ""volume"": 0.0106957, ""timestamp"": ""2024-12-06T17:52:33.909735Z"", ""timestamp_ms"": 1733503953909}",1733507554104,trades,0,39448
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101110.9, ""volume"": 0.00099, ""timestamp"": ""2024-12-06T17:52:34.115503Z"", ""timestamp_ms"": 1733503954115}",1733507554328,trades,0,39449
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4034.99, ""volume"": 0.0510164, ""timestamp"": ""2024-12-06T17:52:34.183004Z"", ""timestamp_ms"": 1733503954183}",1733507554408,trades,0,39450
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101110.8, ""volume"": 0.00027738, ""timestamp"": ""2024-12-06T17:52:34.420046Z"", ""timestamp_ms"": 1733503954420}",1733507554659,trades,0,39451
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4034.99, ""volume"": 0.3, ""timestamp"": ""2024-12-06T17:52:34.907304Z"", ""timestamp_ms"": 1733503954907}",1733507555186,trades,0,39452
